,Date,Weekday,Total Time (Minutes),Highest,Games,Social,Entertainment,Utilities,Productivity & Finance,Creativity,Information & Reading,Education,Shopping & Food,Other,Unclassified,Schedule Type
45,11/25/2020,Wednesday,199.0,Social,19.0,63.0,5.0,0.0,2.0,0.0,54.0,0.0,0.0,0.0,56.0,MWF
46,11/26/2020,Thursday,186.0,Social,78.0,82.0,6.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,13.0,TR
47,11/27/2020,Friday,342.0,Social,21.0,76.0,4.0,0.0,19.0,2.0,14.0,0.0,0.0,0.0,206.0,MWF
48,11/28/2020,Saturday,268.0,Social,29.0,153.0,14.0,21.0,7.0,4.0,0.0,0.0,0.0,0.0,40.0,SS
49,11/29/2020,Sunday,214.0,Social,7.0,112.0,9.0,0.0,6.0,0.0,11.0,0.0,0.0,15.0,54.0,SS
50,11/30/2020,Monday,475.0,Social,102.0,168.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,195.0,MWF
51,12/1/2020,Tuesday,268.0,Social,5.0,78.0,17.0,0.0,12.0,3.0,0.0,0.0,0.0,3.0,150.0,TR
52,12/2/2020,Wednesday,451.0,Social,110.0,129.0,11.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,192.0,MWF
53,12/3/2020,Thursday,289.0,Social,1.0,172.0,5.0,12.0,6.0,0.0,0.0,0.0,10.0,1.0,82.0,TR
54,12/4/2020,Friday,598.0,Social,0.0,108.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,482.0,MWF
55,12/5/2020,Saturday,279.0,Games,110.0,84.0,3.0,0.0,3.0,7.0,3.0,0.0,0.0,12.0,57.0,SS
56,12/6/2020,Sunday,294.0,Social,3.0,140.0,6.0,0.0,15.0,48.0,0.0,0.0,0.0,9.0,73.0,SS
57,12/7/2020,Monday,466.0,Social,21.0,137.0,0.0,0.0,8.0,4.0,0.0,0.0,2.0,9.0,285.0,MWF
58,12/8/2020,Tuesday,572.0,Social,0.0,81.0,12.0,3.0,11.0,54.0,0.0,0.0,0.0,0.0,411.0,TR
59,12/9/2020,Wednesday,494.0,Social,16.0,184.0,4.0,0.0,11.0,0.0,1.0,0.0,0.0,35.0,243.0,MWF
60,12/10/2020,Thursday,478.0,Social,73.0,309.0,11.0,5.0,6.0,42.0,4.0,0.0,0.0,0.0,28.0,TR
61,12/11/2020,Friday,639.0,Social,8.0,535.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,8.0,77.0,MWF
62,12/12/2020,Saturday,495.0,Social,14.0,90.0,13.0,0.0,2.0,8.0,1.0,13.0,0.0,29.0,325.0,SS
63,12/13/2020,Sunday,469.0,Social,13.0,122.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,26.0,296.0,SS
64,12/14/2020,Monday,578.0,Entertainment,0.0,113.0,178.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,267.0,MWF
65,12/15/2020,Tuesday,567.0,Entertainment,3.0,64.0,210.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,282.0,TR
